#SpT,Teff_SpT,logT,BCv,Mv,logL,B-V,Bt-Vt,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,W1-W2,W1-W3,W1-W4
O3V,46000,4.663,-4.05,-5.7,5.8,-0.32,0,-1.22,0,0,0,0,0,0,0,0,0,0,0,-9.75,0,0,0,0,0
O4V,43000,4.633,-3.92,-5.5,5.67,-0.32,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,-9.42,0,0,0,0,0
O5V,41500,4.618,-3.77,-5.4,5.58,-0.32,0,-1.19,0,0,0,0,0,0,0,0,0,0,0,-9.2,0,0,0,0,0
O5.5V,40000,4.602,-3.65,-5.2,5.46,-0.32,0,-1.18,0,0,0,0,0,0,0,0,0,0,0,-8.9,0,0,0,0,0
O6V,39000,4.591,-3.57,-5.1,5.37,-0.32,0,-1.17,0,0,0,0,0,0,0,0,0,0,0,-8.67,0,0,0,0,0
O6.5V,37300,4.573,-3.45,-4.9,5.24,-0.32,0,-1.16,0,0,0,0,0,0,0,0,0,0,0,-8.35,0,0,0,0,0
O7V,36500,4.562,-3.38,-4.8,5.17,-0.32,0,-1.15,0,0,0,0,0,0,0,0,0,0,0,-8.18,0,0,0,0,0
O7.5V,35000,4.544,-3.26,-4.6,5.05,-0.32,0,-1.14,0,0,0,0,0,0,0,0,0,0,0,-7.87,0,0,0,0,0
O8V,34500,4.538,-3.22,-4.5,4.99,-0.32,0,-1.13,0,0,0,0,0,0,0,0,0,0,0,-7.72,0,0,0,0,0
O8.5V,33000,4.519,-3.13,-4.3,4.87,-0.32,0,-1.12,0,0,0,0,0,0,0,0,0,0,0,-7.43,0,0,0,0,0
O9V,32500,4.512,-3.09,-4.2,4.82,-0.318,0,-1.114,0,-0.369,-1,-0.164,-0.071,0,19.6,6.6*,-0.128,-3.44,-3.2,-7.29,0,0,0,0,0
O9.5V,32000,4.505,-3.05,-4.1,4.76,-0.312,0,-1.087,0,-0.361,-0.977,-0.161,-0.069,0,18,6.7*,-0.125,-3.35,-3.12,-7.15,0,0,0,0,0
B0V,31500,4.498,-3.02,-4,4.65,-0.307,0,-1.067,0,-0.355,-0.958,-0.159,-0.067,0,17.5,6.8*,-0.121,-3.27,-3.04,-6.79,0,0,0,0,0
B0.5V,29000,4.462,-2.87,-3.6,4.47,-0.295,0,-1.026,0,-0.338,-0.913,-0.153,-0.063,0,15,6.9*,-0.12,-2.9,-2.69,-6.43,0,0,0,0,0
B1V,26000,4.415,-2.61,-3.1,4.13,-0.278,0,-0.995,-0.115,-0.325,-0.874,-0.148,-0.059,0,11,7.0*,-0.114,-2.43,-2.23,-5.68,0,0,0,0,0
B1.5V,24500,4.389,-2.43,-2.8,3.89,-0.252,-0.274,-0.91,-0.114,-0.281,-0.752,-0.132,-0.047,0.035,10,7.1*,-0.105,-2.23,-2.05,-5.24,0,0,0,0,0
B2V,20600,4.314,-2.06,-1.7,3.38,-0.21,-0.219,-0.79,-0.094,-0.23,-0.602,-0.113,-0.032,0.036,7.3,7.2*,-0.096,-1.24,-1.1,-3.71,0,0,0,0,0
B2.5V,18500,4.267,-1.79,-1.4,3.1,-0.198,-0.206,-0.732,-0.087,-0.21,-0.544,-0.105,-0.026,0.036,6.1,7.3*,-0.09,-0.99,-0.86,-3.15,0,0,0,0,0
B3V,17000,4.23,-1.58,-1.1,2.96,-0.178,-0.184,-0.673,-0.08,-0.192,-0.492,-0.098,-0.021,0.036,5.4,7.4*,-0.085,-0.73,-0.61,-2.64,0,0,0,0,0
B4V,16700,4.223,-1.53,-1,2.91,-0.165,-0.17,-0.619,-0.074,-0.176,-0.447,-0.092,-0.016,0.036,5,7.5*,-0.081,-0.66,-0.55,-2.52,0,0,0,0,0
B5V,15700,4.196,-1.35,-0.9,2.8,-0.156,-0.16,-0.581,-0.07,-0.165,-0.417,-0.089,-0.013,0.036,4.6,7.7*,-0.075,-0.59,-0.48,-2.25,0,0,-0.045,-0.117,-0.07
B6V,14500,4.161,-1.16,-0.5,2.54,-0.14,-0.142,-0.504,-0.062,-0.145,-0.358,-0.081,-0.007,0.035,4,7.8*,-0.068,-0.23,-0.14,-1.66,0,0,-0.045,-0.117,-0.07
B7V,14000,4.146,-1.07,-0.4,2.49,-0.128,-0.129,-0.459,-0.058,-0.133,-0.325,-0.077,-0.004,0.035,3.9,7.9*,-0.061,-0.16,-0.08,-1.47,0,0,-0.045,-0.117,-0.07
B8V,12500,4.097,-0.81,-0.2,2.27,-0.109,-0.107,-0.364,-0.048,-0.108,-0.254,-0.067,0.003,0.034,3.4,8.1*,-0.049,-0.01,0.05,-0.91,0,0,-0.046,-0.116,-0.067
B9V,10700,4.029,-0.42,0.7,1.79,-0.07,-0.063,-0.2,-0.028,-0.061,-0.121,-0.05,0.016,0.032,2.8,8.3*,-0.035,0.79,0.82,0.28,0,0,-0.063,-0.104,-0.054
B9.5V,10400,4.017,-0.38,0.8,1.73,-0.05,-0.04,-0.13,-0.017,-0.035,-0.048,-0.044,0.021,0.031,2.5,8.4*,-0.026,0.83,0.85,0.44,0,0,-0.044,-0.091,-0.043
A0V,9700,3.987,-0.24,1.11,1.54,0,0.013,-0.005,0.001,0.004,0.041,-0.032,0.028,0.03,2.3,8.5,0,1.07,1.07,0.87,0,0,-0.041,-0.074,-0.022
A1V,9200,3.965,-0.15,1.34,1.41,0.043,0.056,0.033,0.019,0.044,0.101,-0.024,0.031,0.03,2.15,8.6,0.017,1.25,1.24,1.19,0,0,-0.036,-0.068,-0.023
A2V,8840,3.946,-0.1,1.48,1.33,0.074,0.091,0.063,0.042,0.091,0.188,-0.01,0.034,0.029,2.05,8.7,0.038,1.32,1.29,1.38,0,0,-0.034,-0.067,-0.029
A3V,8550,3.932,-0.06,1.55,1.29,0.09,0.109,0.077,0.05,0.108,0.228,-0.002,0.034,0.029,2,8.7,0.055,1.35,1.32,1.49,0,0,-0.033,-0.066,-0.029
A4V,8270,3.917,-0.04,1.76,1.2,0.14,0.166,0.097,0.078,0.164,0.353,0.022,0.037,0.029,1.9,8.8,0.071,1.47,1.41,1.72,0,0,-0.031,-0.059,-0.021
A5V,8080,3.907,-0.03,1.84,1.16,0.16,0.185,0.1,0.089,0.186,0.403,0.031,0.038,0.029,1.85,8.8,0.09,1.51,1.44,1.81,0,0,-0.03,-0.058,-0.021
A6V,8000,3.903,-0.02,1.89,1.14,0.17,0.194,0.098,0.094,0.197,0.428,0.036,0.038,0.029,1.83,8.9,0.099,1.54,1.46,1.87,0,0,-0.03,-0.057,-0.018
A7V,7800,3.892,0,2.07,1.06,0.21,0.233,0.091,0.117,0.242,0.528,0.055,0.04,0.029,1.76,8.9,0.107,1.64,1.54,2.07,0,0,-0.03,-0.056,-0.017
A8V,7500,3.874,0,2.29,0.97,0.25,0.274,0.082,0.14,0.288,0.626,0.075,0.042,0.028,1.67,9,0.132,1.78,1.66,2.29,0,0,-0.028,-0.055,-0.009
A9V,7440,3.872,0,2.3,0.97,0.255,0.279,0.08,0.143,0.294,0.638,0.078,0.043,0.028,1.67,9,0.145,1.78,1.66,2.3,0,0,-0.028,-0.055,-0.007
F0V,7200,3.857,-0.01,2.51,0.89,0.294,0.317,0.053,0.166,0.339,0.732,0.098,0.045,0.028,1.59,9.1,0.158,1.9,1.76,2.5,0,0,-0.026,-0.05,0.003
F1V,7030,3.847,-0.01,2.79,0.77,0.334,0.35,0.021,0.19,0.385,0.828,0.119,0.047,0.028,1.5,9.1,0.204,2.13,1.96,2.78,0,0,-0.026,-0.047,0.009
F2V,6810,3.833,-0.02,2.99,0.7,0.374,0.39,-0.008,0.213,0.432,0.925,0.14,0.05,0.028,1.44,9.2,0.25,2.26,2.07,2.97,0,0,-0.027,-0.046,0.011
F3V,6720,3.827,-0.03,3.08,0.67,0.389,0.405,-0.016,0.222,0.449,0.961,0.147,0.051,0.028,1.43,9.2,0.263,2.32,2.12,3.05,0,0,-0.028,-0.046,0.008
F4V,6640,3.822,-0.04,3.23,0.61,0.412,0.428,-0.026,0.236,0.476,1.017,0.159,0.052,0.028,1.39,9.2,0.277,2.42,2.21,3.19,0,0,-0.029,-0.046,0
F5V,6510,3.814,-0.04,3.4,0.54,0.438,0.455,-0.029,0.252,0.506,1.079,0.173,0.054,0.028,1.33,9.3,0.29,2.55,2.32,3.36,0,0,-0.03,-0.045,-0.004
F6V,6340,3.802,-0.05,3.7,0.43,0.484,0.504,-0.021,0.276,0.553,1.185,0.199,0.057,0.028,1.25,9.4,0.317,2.78,2.52,3.65,0,0,-0.033,-0.045,-0.012
F7V,6240,3.795,-0.06,3.87,0.36,0.51,0.534,-0.012,0.29,0.579,1.244,0.213,0.06,0.027,1.21,9.5,0.332,2.9,2.63,3.81,0,0,-0.036,-0.045,-0.013
F8V,6170,3.79,-0.07,4.01,0.31,0.53,0.558,0.001,0.3,0.599,1.29,0.225,0.061,0.027,1.18,9.6,0.35,3.01,2.72,3.96,0,0,-0.039,-0.044,-0.016
F9V,6040,3.781,-0.08,4.15,0.26,0.552,0.587,0.014,0.312,0.62,1.34,0.237,0.063,0.027,1.14,9.7,0.378,3.11,2.81,4.07,0,0,-0.041,-0.044,-0.014
G0V,5920,3.772,-0.09,4.45,0.14,0.596,0.65,0.058,0.336,0.664,1.44,0.262,0.067,0.027,1.08,9.7,0,3.34,3.01,4.4,0,0,-0.043,-0.043,-0.01
G1V,5880,3.769,-0.1,4.5,0.13,0.604,0.661,0.067,0.34,0.672,1.458,0.267,0.068,0.027,1.07,9.8,0,3.38,3.04,4.4,0,0,-0.044,-0.042,-0.01
G2V,5770,3.761,-0.11,4.79,0.01,0.65,0.724,0.133,0.363,0.713,1.564,0.293,0.073,0.028,1.02,9.8,0,3.57,3.2,4.68,0,0,-0.05,-0.04,-0.016
G3V,5720,3.757,-0.12,4.86,-0.01,0.661,0.739,0.152,0.368,0.722,1.59,0.299,0.074,0.028,1,0,0,3.64,3.27,4.74,0,0,-0.05,-0.04,-0.014
G4V,5680,3.754,-0.13,4.94,-0.04,0.674,0.757,0.175,0.374,0.733,1.621,0.307,0.075,0.028,0.99,0,0,3.7,3.32,4.8,0,0,-0.052,-0.041,-0.014
G5V,5660,3.753,-0.13,4.98,-0.05,0.68,0.764,0.185,0.377,0.738,1.635,0.31,0.076,0.028,0.98,0,0,3.74,3.35,4.84,0,0,-0.052,-0.041,-0.014
G6V,5590,3.747,-0.15,5.13,-0.11,0.704,0.796,0.227,0.388,0.758,1.691,0.324,0.079,0.028,0.97,0,0,3.84,3.44,4.98,0,0,-0.053,-0.04,-0.012
G7V,5530,3.743,-0.16,5.18,-0.12,0.713,0.809,0.243,0.393,0.766,1.712,0.329,0.08,0.028,0.96,0,0,3.88,3.47,5.02,0,0,-0.054,-0.04,-0.013
G8V,5490,3.734,-0.17,5.32,-0.17,0.737,0.842,0.284,0.404,0.786,1.768,0.342,0.082,0.028,0.94,0,0,3.97,3.55,5.15,0,0,-0.057,-0.039,-0.018
G9V,5340,3.728,-0.21,5.55,-0.25,0.777,0.894,0.358,0.423,0.82,1.861,0.365,0.087,0.029,0.9,0,0,4.14,3.69,5.34,0,0,-0.06,-0.038,-0.018
K0V,5280,3.723,-0.22,5.76,-0.33,0.816,0.944,0.436,0.443,0.853,1.953,0.387,0.091,0.03,0.87,0,0,4.29,3.81,5.54,0,0,-0.063,-0.037,-0.015
K1V,5170,3.713,-0.26,5.91,-0.37,0.847,0.982,0.502,0.46,0.883,2.034,0.405,0.094,0.03,0.85,0,0,4.47,3.97,5.65,0,0,-0.064,-0.038,-0.013
K2V,5040,3.706,-0.29,6.19,-0.47,0.893,1.047,0.6,0.487,0.929,2.155,0.432,0.099,0.031,0.82,0,0,4.57,4.04,5.88,0,0,-0.068,-0.035,-0.007
K3V,4840,3.685,-0.41,6.57,-0.58,0.99,1.166,0.801,0.544,1.025,2.41,0.49,0.11,0.034,0.78,0,0,4.76,4.16,6.16,0,0,-0.071,-0.031,-0.004
K4V,4620,3.665,-0.55,7.04,-0.71,1.1,1.306,1.004,0.64,1.19,2.733,0.544,0.125,0.039,0.73,0,0,4.98,4.31,6.48,0,0,-0.073,-0.031,0.009
K5V,4450,3.648,-0.67,7.25,-0.75,1.134,1.352,1.056,0.671,1.246,2.835,0.56,0.13,0.041,0.72,0,0,5.11,4.42,6.58,0,0,-0.073,-0.029,0.019
K6V,4200,3.623,-0.86,7.88,-0.92,1.257,1.454,1.199,0.771,1.448,3.19,0.605,0.151,0.051,0.7,0,0,5.45,4.69,7.07,0,0,0,0,0
K7V,4050,3.607,-0.97,8.3,-1.04,1.34,1.543,1.222,0.826,1.58,3.418,0.624,0.169,0.062,0.64,0,0,5.68,4.88,7.33,0,0,0,0,0
K8V,3970,3.599,-1.08,8.58,-1.08,1.38,1.592,1.213,0.857,1.664,3.544,0.631,0.18,0.069,0.63,0,0,5.86,5.04,7.5,0,0,0,0,0
K9V,3880,3.589,-1.22,9,-1.22,1.42,1.634,1.197,0.902,1.808,3.737,0.624,0.198,0.082,0.61,0,0,6.05,5.26,7.78,0,0,0,0,0
M0V,3850,3.585,-1.3,9.16,-1.26,1.431,1.65,1.19,0.913,1.848,3.79,0.622,0.203,0.086,0.6,0,0,6.14,5.37,7.9,0,0,0,0,0
M1V,3700,3.568,-1.53,9.8,-1.42,1.48,0,1.171,0.968,2.051,4.065,0.61,0.225,0.103,0.53,0,0,6.57,5.74,8.27,0,0,0,0,0
M1.5V,3650,3.562,-1.57,9.97,-1.47,1.486,0,1.17,0.978,2.089,4.12,0.607,0.228,0.105,0.5,0,0,6.69,5.85,8.4,0,0,0,0,0
M2V,3550,3.55,-1.65,10.3,-1.57,1.5,0,1.17,1.001,2.173,4.24,0.6,0.234,0.11,0.48,0,0,6.89,6.06,8.65,0,0,0,0,0
M2.5V,3500,3.544,-1.76,10.7,-1.68,1.522,0,1.175,1.041,2.306,4.43,0.589,0.244,0.117,0.44,0,0,7.01,6.27,8.94,0,0,0,0,0
M3V,3410,3.533,-1.97,11.14,-1.78,1.544,0,1.181,1.079,2.42,4.6,0.579,0.252,0.122,0.39,0,0,7.4,6.54,9.17,0,0,0,0,0
M3.5V,3250,3.512,-2.27,12.19,-2.07,1.602,0,1.2,1.178,2.68,5,0.558,0.269,0.132,0.28,0,0,8.02,7.19,9.92,0,0,0,0,0
M4V,3200,3.505,-2.59,12.8,-2.2,1.661,0,1.222,1.241,2.831,5.25,0.557,0.282,0.139,0.22,0,0,8.39,7.55,10.21,0,0,0,0,0
M4.5V,3100,3.491,-3.05,13.57,-2.31,1.72,0,1.23,1.345,3.073,5.64,0.564,0.301,0,0.18,0,0,8.79,7.93,10.52,0,0,0,0,0
M5V,3030,3.481,-3.28,14.3,-2.52,1.874,0,1.24,1.446,3.277,5.94,0.58,0.311,0,0.15,0,0,9.25,8.36,11.02,0.91,0.47,0.17,0,0
M5.5V,3000,3.477,-3.8,15.51,-2.79,1.91,0,1.3,1.656,3.664,6.5,0.588,0.329,0,0.12,0,0,9.93,9.01,11.71,1.13,0.52,0.19,0,0
M6V,2850,3.455,-4.36,16.62,-3.02,2,0,1.3,1.95,4.1,7.3,0.605,0.352,0,0.11,0,0,10.28,9.32,12.26,1.45,0.6,0.21,0,0
M6.5V,2710,3.433,-4.6,17.07,-3.09,2.06,0,0,2.003,4.284,7.6,0.609,0.364,0,0.1,0,0,10.47,9.47,12.47,1.58,0.64,0.22,0,0
M7V,2650,3.423,-5.06,17.81,-3.21,2.06,0,0,2.18,4.52,8.05,0.613,0.386,0,0.09,0,0,10.76,9.76,12.75,1.77,0.7,0.24,0,0
M7.5V,2600,3.415,-5.46,18.42,-3.29,2.17,0,0,2.16,4.56,8.45,0.65,0.422,0,0.08,0,0,10.68,9.97,12.97,1.85,0.74,0.25,0,0
M8V,2500,3.398,-5.79,18.88,-3.34,2.2,0,0,2.15,4.6,8.73,0.677,0.447,0,0.077,0,0,11.27,10.15,13.09,1.93,0.77,0.26,0,0
M9V,2450,3.389,-5.73,19.26,-3.53,0,0,0,1.89,4.37,8.85,0.749,0.481,0,0.065,0,0,11.64,10.41,13.53,1.99,0.82,0.27,0,0
L0V,2250,3.352,0,19.8,-3.57,0,0,0,0,4.6,9.3,0.79,0.5,0,0,0,0,11.75,10.38,13.67,2.01,0.86,0.27,0,0
L1V,2100,3.322,0,20.3,-3.7,0,0,0,0,4.8,9.6,0.8,0.54,0,0,0,0,12.07,11.03,13.99,2.02,0.88,0.28,0,0
L2V,1960,3.292,0,20.8,-3.84,0,0,0,0,4.9,9.9,0.87,0.57,0,0,0,0,12.44,11.17,14.34,2.04,0.9,0.28,0,0
L3V,1830,3.262,0,21.3,-3.98,0,0,0,0,5,10.2,1,0.63,0,0,0,0,12.84,11.22,14.96,2.1,0.92,0.29,0,0
L4V,1700,3.23,0,22.2,-4.11,0,0,0,0,5.5,10.8,1.14,0.63,0,0,0,0,13.28,11.47,15.02,2.2,0.94,0.3,0,0
L5V,1590,3.201,0,23.1,-4.24,0,0,0,0,6,11.4,1.13,0.65,0,0,0,0,13.72,11.82,15.34,2.33,0.97,0.32,0,0
L6V,1490,3.173,0,0,-4.36,0,0,0,0,0,0,1.08,0.64,0,0,0,0,14.14,12.27,15.64,2.51,1,0.36,0,0
L7V,1410,3.149,0,0,-4.46,0,0,0,0,0,0,1.1,0.62,0,0,0,0,14.51,12.62,15.89,2.71,1.04,0.41,0,0
L8V,1350,3.13,0,0,-4.55,0,0,0,0,0,0,1.14,0.63,0,0,0,0,14.9,12.7,16.12,2.93,1.09,0.48,0,0
L9V,1300,3.114,0,0,-4.61,0,0,0,0,0,0,1.1,0.63,0,0,0,0,14.99,12.74,16.27,3.15,1.16,0.57,0,0
T0V,1260,3.1,0,0,-4.66,0,0,0,0,0,0,1.02,0.54,0,0,0,0,15.07,12.9,16.39,3.36,1.23,0.68,0,0
T1V,1230,3.09,0,0,-4.69,0,0,0,0,0,0,1.02,0.45,0,0,0,0,15.04,12.87,16.47,3.55,1.33,0.82,0,0
T2V,1200,3.079,0,0,-4.73,0,0,0,0,0,0,0.86,0.27,0,0,0,0,14.92,13.19,16.57,3.7,1.43,0.99,0,0
T3V,1160,3.064,0,0,-4.77,0,0,0,0,0,0,0.68,0.08,0,0,0,0,14.77,13.69,16.67,3.82,1.55,1.19,0,0
T4V,1120,3.049,0,0,-4.84,0,0,0,0,0,0,0.35,-0.19,0,0,0,0,14.66,14.51,16.84,3.9,1.68,1.43,0,0
T4.5V,1090,3.037,0,0,-4.9,0,0,0,0,0,0,0.2,-0.06,0,0,0,0,14.67,14.66,16.99,3.93,1.75,1.57,0,0
T5V,1050,3.021,0,0,-4.95,0,0,0,0,0,0,0.2,-0.08,0,0,0,0,14.68,14.9,17.12,3.95,1.81,1.7,0,0
T5.5V,1010,3.004,0,0,-5.04,0,0,0,0,0,0,0.2,-0.1,0,0,0,0,14.84,15.18,17.34,3.97,1.89,1.86,0,0
T6V,960,2.982,0,0,-5.12,0,0,0,0,0,0,0.1,-0.03,0,0,0,0,15,15.54,17.54,3.98,1.96,2.02,0,0
T7V,840,2.924,0,0,-5.37,0,0,0,0,0,0,0,0,0,0,0,0,15.77,16.36,18.17,4.01,2.11,2.38,0,0
T7.5V,770,2.886,0,0,-5.54,0,0,0,0,0,0,0.2,-0.05,0,0,0,0,16.51,16.85,18.59,4.05,2.19,2.59,0,0
T8V,700,2.845,0,0,-5.71,0,0,0,0,0,0,0.2,-0.05,0,0,0,0,17.24,17.43,19.02,4.08,2.26,2.79,0,0
T8.5V,610,2.785,0,0,-5.93,0,0,0,0,0,0,0.2,0,0,0,0,0,18.45,0,19.57,0,0,0,0,0
T9V,530,2.724,0,0,-6.15,0,0,0,0,0,0,0.1,-0.2,0,0,0,0,19.67,18.48,20.12,0,0,0,0,0
T9.5V,475,2.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.52:,19.32,0,0,0,0,0,0
Y0V,420,2.623,0,0,-6.52,0,0,0,0,0,0,0,-0.5,0,0,0,0,21,0,0,0,0,2.4,0,0
Y0.5V,390,2.591,0,0,0,0,0,0,0,0,0,0,-0.6,0,0,0,0,22,21.5,0,0,0,2.5,0,0
Y1V,350,2.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,2.6,0,0
Y1.5V,325,2.512,0,0,0,0,0,0,0,0,0,0,-0.8,0,0,0,0,25,23.5,0,0,0,0,0,0
Y2V,250,2.398,0,0,-8.6,0,0,0,0,0,0,0,0,0,0,0,0,28.3,24,26.2,0,0,3.4,0,0
